n_future_bars,tp_threshold,sl_threshold,volatility_threshold,sharpe,total_trade, 'mdd'
28,0.04,-0.05,2.8,1.5733145973059564,767,-0.0803255432838625
28,0.04,-0.05,2.3999999999999995,1.5087908861175126,749,-0.0818321034008868
28,0.04,-0.06,1.0,1.218003267467847,576,-0.0501631862870517
28,0.04,-0.06,1.2,1.3215947375543615,606,-0.0581782448966988
28,0.04,-0.06,1.4,1.3624532969158965,612,-0.068842304169411
28,0.04,-0.06,1.6,1.386069602446814,642,-0.0738353334146643
28,0.04,-0.06,1.7999999999999998,1.3873253189650596,640,-0.0892062418686965
28,0.04,-0.06,2.0,1.3881406650476509,638,-0.0815255432838621
28,0.04,-0.06,2.2,1.443975514205153,654,-0.082110570244656
28,0.04,-0.06,2.3999999999999995,1.4494413964664534,659,-0.0818321034008868
28,0.04,-0.06,2.6,1.482841985764867,669,-0.0818321034008868
28,0.04,-0.06,2.8,1.5063546177495062,683,-0.0803255432838625
28,0.04,-0.07,1.0,1.1853013314598344,512,-0.0501631862870517
28,0.04,-0.07,1.2,1.2954545094757632,540,-0.0533929182131737
28,0.04,-0.07,1.4,1.3028026308114689,558,-0.0709460116538843
28,0.04,-0.07,1.6,1.326889307398617,592,-0.0759390408991376
28,0.04,-0.07,1.7999999999999998,1.333049963409448,584,-0.089206241868696
28,0.04,-0.07,2.0,1.3354406222759634,582,-0.0815255432838619
28,0.04,-0.07,2.2,1.3942385343099744,596,-0.082110570244656
28,0.04,-0.07,2.6,1.436161528139347,617,-0.0818321034008868
28,0.04,-0.07,2.3999999999999995,1.4009006762501304,607,-0.0818321034008868
28,0.05,0.0,1.0,1.4534965587482664,2415,-0.1782954493106476
28,0.05,0.0,1.2,1.6532792212475296,2453,-0.1589072846057746
28,0.04,-0.07,2.8,1.4621769368670332,631,-0.0855773281652307
28,0.05,0.0,1.4,1.659675991431069,2429,-0.1777121138227517
28,0.05,0.0,1.6,1.7408804203366095,2431,-0.1446972292874742
28,0.05,0.0,1.7999999999999998,1.7747477597063597,2407,-0.1070033205456191
28,0.05,0.0,2.0,1.8431411104302324,2407,-0.0894761021328127
28,0.05,0.0,2.3999999999999995,1.8428801438554216,2432,-0.122412220951853
28,0.05,0.0,2.2,1.819018121336496,2421,-0.1147994411545498
28,0.05,0.0,2.6,1.9015002829648693,2432,-0.1430239157911224
28,0.05,0.0,2.8,1.9923203156751903,2464,-0.0906300293858954
28,0.05,-0.01,1.0,1.6233950986077537,1667,-0.0658394670401272
28,0.05,-0.01,1.2,1.806672819043344,1725,-0.0625081975049397
28,0.05,-0.01,1.6,1.8772008145353372,1757,-0.0915733924322071
28,0.05,-0.01,1.4,1.798175650400752,1745,-0.0943855835439047
28,0.05,-0.01,1.7999999999999998,1.9139185334681208,1775,-0.0940030169725926
28,0.05,-0.01,2.0,1.9740501812753612,1789,-0.090180593800244
28,0.05,-0.01,2.2,1.9848785062774617,1797,-0.0815255432838619
28,0.05,-0.01,2.3999999999999995,2.00508521127796,1802,-0.0803255432838634
28,0.05,-0.01,2.6,2.0658345461645684,1802,-0.0803255432838634
28,0.05,-0.01,2.8,2.1223271181579526,1838,-0.0803255432838634
28,0.05,-0.02,1.0,1.5189031484465008,1128,-0.0501631862870517
28,0.05,-0.02,1.2,1.6871467876668078,1190,-0.0631376942184926
28,0.05,-0.02,1.4,1.6908846312142929,1228,-0.0815652322001145
28,0.05,-0.02,1.6,1.7574205335499573,1244,-0.0781805383384526
28,0.05,-0.02,1.7999999999999998,1.7949543010568154,1244,-0.0911426156587396
28,0.05,-0.02,2.0,1.8419140944246748,1250,-0.0827411576577326
28,0.05,-0.02,2.2,1.8414878122518283,1270,-0.0815255432838624
28,0.05,-0.02,2.6,1.914972845828059,1279,-0.0803255432838625
28,0.05,-0.02,2.3999999999999995,1.8586423957646767,1277,-0.0803255432838625
28,0.05,-0.03,1.0,1.4053064751280708,852,-0.0535569525982638
28,0.05,-0.02,2.8,1.9502263214854425,1299,-0.0803255432838625
28,0.05,-0.03,1.2,1.5712010788523691,910,-0.0520266375288178
28,0.05,-0.03,1.4,1.5936655331330392,938,-0.0688423041694106
28,0.05,-0.03,1.6,1.6509415207502354,962,-0.0738353334146637
28,0.05,-0.03,1.7999999999999998,1.6756849437937589,970,-0.0892062418686965
28,0.05,-0.03,2.0,1.7124231445132143,982,-0.0815255432838624
28,0.05,-0.03,2.3999999999999995,1.726403103614642,1011,-0.0803255432838625
28,0.05,-0.03,2.2,1.7202824909428127,1002,-0.0815255432838624
28,0.05,-0.03,2.6,1.7786193951181306,1021,-0.0803255432838625
28,0.05,-0.03,2.8,1.8054798500827376,1039,-0.0803255432838625
