start_time,close,datetime,exchange_whale_ratio,coinbase_premium_index,taker_buy_sell_ratio,netflow
1664406000000,19411.17904875,2022-09-28 23:00:00,0.55318737,-0.00386343,0.99800308,80.93153737
1664409600000,19434.60220175,2022-09-29 00:00:00,0.49359111,-0.0059677,1.15516643,95.81785357
1664413200000,19492.61698834,2022-09-29 01:00:00,0.69729479,-0.00282101,1.16574068,158.70620653
1664416800000,19439.94837252,2022-09-29 02:00:00,0.62520525,0.00082313,0.94110039,288.50440616000003
1664420400000,19505.67197458,2022-09-29 03:00:00,0.7641757950000001,-0.00743304,0.97024472,614.540864045
1664424000000,19580.4558144,2022-09-29 04:00:00,0.90314634,0.00684256,1.18436046,940.57732193
1664427600000,19454.51531756,2022-09-29 05:00:00,0.69517037,-0.0044207,0.89457366,-125.11132171999998
1664431200000,19384.56186207,2022-09-29 06:00:00,0.60544677,-0.00366262,0.94259736,85.21784021999997
1664434800000,19358.23519028,2022-09-29 07:00:00,0.55623142,0.01239688,0.98175535,-43.9148711
1664438400000,19344.37943406,2022-09-29 08:00:00,0.72616805,0.01240673,1.00293956,287.5698981599999
1664442000000,19481.55855183,2022-09-29 09:00:00,0.9614381,0.00323387,1.05527909,3239.37088456
1664445600000,19440.1664433,2022-09-29 10:00:00,0.90958679,-0.00900278,0.90105814,1694.64662955
1664449200000,19467.42437029,2022-09-29 11:00:00,0.67284493,0.0087345,0.9861187,-298.5109751
1664452800000,19212.01760897,2022-09-29 12:00:00,0.54996175,-0.00057257,0.88709512,-716.6995902599999
1664456400000,18993.19269369,2022-09-29 13:00:00,0.69986092,0.00884579,0.94027801,172.96295507000002
1664460000000,19195.87378633,2022-09-29 14:00:00,0.84633813,-0.00583414,1.04114952,-326.13903571000003
1664463600000,19292.45851849,2022-09-29 15:00:00,0.47433842,-0.01166477,1.06376411,-575.13498435
1664467200000,19446.24094946,2022-09-29 16:00:00,0.79065414,0.00426861,1.13488307,462.34225589999994
1664470800000,19262.43052871,2022-09-29 17:00:00,0.56146321,0.0237779,0.97537467,-5.212778780000008
1664474400000,19298.23227289,2022-09-29 18:00:00,0.75893399,-0.00010363,1.02341028,473.96677311999997
1664478000000,19405.57404286,2022-09-29 19:00:00,0.65155689,-0.01463512,1.10944003,4.847177450000004
1664481600000,19507.41213553,2022-09-29 20:00:00,0.63056787,0.01138132,1.08708899,-137.60041133
1664485200000,19431.08819787,2022-09-29 21:00:00,0.73741933,0.0133298,0.83029689,-159.991917
1664488800000,19457.00838762,2022-09-29 22:00:00,0.55885422,0.00693871,1.08470807,-400.51675156000005
1664492400000,19594.86156032,2022-09-29 23:00:00,0.86427415,0.02072326,1.2873593,387.04494054
1664496000000,19546.23536441,2022-09-30 00:00:00,0.75952484,0.00793027,1.11448333,138.15374961000003
1664499600000,19509.96858942,2022-09-30 01:00:00,0.54775856,-0.00625381,0.9193292,-124.68944883
1664503200000,19362.97444577,2022-09-30 02:00:00,0.68707585,0.00764443,0.8633824,16.62404091000002
1664506800000,19400.46809453,2022-09-30 03:00:00,0.81419287,0.01438284,1.00341758,5.476404620000011
1664510400000,19430.32637814,2022-09-30 04:00:00,0.48589515,0.0001544,1.06760847,-933.6664351899999
1664514000000,19449.78192308,2022-09-30 05:00:00,0.8662274,0.01547875,0.99598011,242.31346437000002
1664517600000,19445.63339736,2022-09-30 06:00:00,0.81822541,0.00437127,0.97658197,578.23247049
1664521200000,19575.49764436,2022-09-30 07:00:00,0.44767144,0.04000746,1.09673625,-659.55879669
1664524800000,19627.27055377,2022-09-30 08:00:00,0.6978607,0.01916041,1.09900575,-3598.42117804
1664528400000,19529.18125003,2022-09-30 09:00:00,0.82850451,0.01961385,0.79977524,689.04646767
1664532000000,19489.08233823,2022-09-30 10:00:00,0.76743209,0.0184237,0.97552342,-67.98475504999999
1664535600000,19436.59425553,2022-09-30 11:00:00,0.81150941,0.00499066,0.94050254,-44.29217984000002
1664539200000,19296.5792159,2022-09-30 12:00:00,0.74306124,-0.00507846,0.95228724,395.58205424999994
1664542800000,19471.73117993,2022-09-30 13:00:00,0.59638181,0.00980891,1.13295062,-118.45121173999996
1664546400000,19996.30673033,2022-09-30 14:00:00,0.63777616,0.03256125,1.16316802,-210.17621541999995
1664550000000,19755.55287522,2022-09-30 15:00:00,0.58231156,-0.01017412,1.00645048,785.66566358
1664553600000,19714.38882713,2022-09-30 16:00:00,0.81493295,-0.00076093,0.96570767,1259.13634445
1664557200000,19682.03752215,2022-09-30 17:00:00,0.6893846,0.00228666,0.91243486,6.319631759999993
1664560800000,19671.55337772,2022-09-30 18:00:00,0.79912772,-0.00198293,0.97384468,697.1519053300001
1664564400000,19476.5216517,2022-09-30 19:00:00,0.75238207,0.0358949,0.81896286,299.3689987
1664568000000,19425.32033178,2022-09-30 20:00:00,0.4529879,-0.0011326,0.87810311,-947.19373349
1664571600000,19361.30818559,2022-09-30 21:00:00,0.86963369,-0.0046485,0.89040295,232.82201125999995
1664575200000,19401.39336574,2022-09-30 22:00:00,0.85177371,0.01604345,0.93727187,245.99073267
1664578800000,19422.80221717,2022-09-30 23:00:00,0.89710676,0.01802024,0.98671934,-214.08159225999987
1664582400000,19404.31763769,2022-10-01 00:00:00,0.9635956,0.00072154,0.84560003,1014.1956037399999
1664586000000,19423.53859635,2022-10-01 01:00:00,0.53182737,-0.00437607,1.18806577,-68.42020329
1664589600000,19417.37360996,2022-10-01 02:00:00,0.57750006,0.00092718,0.95687009,77.74783772
1664593200000,19420.01985125,2022-10-01 03:00:00,0.6693136,0.01040376,0.9134482,-728.60480895
1664596800000,19408.88136034,2022-10-01 04:00:00,0.60480042,0.00649236,0.87470006,226.23580136
1664600400000,19317.75979796,2022-10-01 05:00:00,0.48240253,0.02624506,0.94559066,-234.17276078000003
1664604000000,19294.72678698,2022-10-01 06:00:00,0.79179016,0.01129954,0.91202802,4.957821620000004
1664607600000,19312.13196731,2022-10-01 07:00:00,0.64179977,0.00616266,1.02181397,-151.27653747000002
1664611200000,19336.80784289,2022-10-01 08:00:00,0.48101968,-0.00424101,0.98544266,-105.89698713000001
1664614800000,19333.05538131,2022-10-01 09:00:00,0.32670433,0.01164024,1.11008342,-102.89867439000001
1664618400000,19329.82828928,2022-10-01 10:00:00,0.50523605,0.00620863,0.94831398,-180.23145322
1664622000000,19314.92305777,2022-10-01 11:00:00,0.47545859,0.0159486,0.80198541,-62.505272370000014
1664625600000,19299.78832296,2022-10-01 12:00:00,0.81104507,0.02104001,0.97744853,-4205.02756438
1664629200000,19332.91457005,2022-10-01 13:00:00,0.5460574,0.01293167,1.08463115,-1431.15053718
1664632800000,19323.63036857,2022-10-01 14:00:00,0.64433493,0.00372638,0.93538044,104.02466385
1664636400000,19331.48978751,2022-10-01 15:00:00,0.82288527,0.01717453,1.20775791,-28.26107535
1664640000000,19291.49674788,2022-10-01 16:00:00,0.30778376,0.00300656,0.94110206,-106.79081088999999
1664643600000,19278.70653513,2022-10-01 17:00:00,0.59017531,0.00321615,0.92248104,-178.73689161000001
1664647200000,19300.50269368,2022-10-01 18:00:00,0.61585407,0.01456054,0.98316724,81.66978129999998
1664650800000,19267.1996712,2022-10-01 19:00:00,0.2727221,0.02449893,0.88995784,-144.31603398
1664654400000,19252.25705674,2022-10-01 20:00:00,0.80183222,0.01693485,1.04984995,235.09012852000004
1664658000000,19290.3340867,2022-10-01 21:00:00,0.37949541,0.00959125,1.31756323,-54.10084706000001
1664661600000,19324.97333118,2022-10-01 22:00:00,0.84435353,0.02240704,0.99254472,-56.727973899999995
1664665200000,19312.83616034,2022-10-01 23:00:00,0.52044666,0.02237073,0.94069502,-2.928364160000001
1664668800000,19278.14386761,2022-10-02 00:00:00,0.63146741,0.00933708,0.88062836,-210.39054775999998
1664672400000,19311.86647771,2022-10-02 01:00:00,0.43091157,0.01336227,1.11010055,-63.128500460000005
1664676000000,19320.51139975,2022-10-02 02:00:00,0.67651782,0.01294106,1.10720656,63.50139992000001
1664679600000,19313.13909482,2022-10-02 03:00:00,0.83831391,0.01123722,0.88535825,50.67369057
1664683200000,19337.46883378,2022-10-02 04:00:00,0.67556635,0.00894798,1.09725207,125.62016753
1664686800000,19332.53822166,2022-10-02 05:00:00,0.64307495,0.01443309,0.94907882,-81.34447095000002
1664690400000,19281.79940043,2022-10-02 06:00:00,0.83178088,0.01068531,1.02114699,-104.75653319999998
1664694000000,19286.42229803,2022-10-02 07:00:00,0.82940055,0.01441515,1.04589641,176.54718159
1664697600000,19284.44850789,2022-10-02 08:00:00,0.52941304,0.00575626,0.89931608,4.3606526100000025
1664701200000,19263.33218097,2022-10-02 09:00:00,0.33030057,-0.00238818,0.86888241,-17.107346690000007
1664704800000,19102.87263559,2022-10-02 10:00:00,0.55008755,0.0117271,0.85510317,-4.797081960000014
