datetime,actual_position,predicted_position,regime,close_price,daily_pnl,cumu_pnl
2025-01-17 04:00:00,Neutral,Neutral,1,101452.086012,0.0,-0.1751870197241177
2025-01-17 05:00:00,Neutral,Neutral,1,101310.87751854,-0.0,-0.1751870197241177
2025-01-17 06:00:00,Long,Neutral,1,101366.45044097,0.0,-0.1751870197241177
2025-01-17 07:00:00,Long,Neutral,1,101415.77883293,0.0,-0.1751870197241177
2025-01-17 08:00:00,Long,Neutral,1,102100.84642977,0.0,-0.1751870197241177
2025-01-17 09:00:00,Long,Neutral,1,101841.74370726,-0.0,-0.1751870197241177
2025-01-17 10:00:00,Long,Neutral,1,102306.2390979,0.0,-0.1751870197241177
2025-01-17 11:00:00,Long,Neutral,1,102217.33908973,-0.0,-0.1751870197241177
2025-01-17 12:00:00,Neutral,Neutral,1,102726.77430583,0.0,-0.1751870197241177
2025-01-17 13:00:00,Long,Neutral,1,102449.41772177,-0.0,-0.1751870197241177
2025-01-17 14:00:00,Neutral,Neutral,1,103401.0293273,0.0,-0.1751870197241177
2025-01-17 15:00:00,Neutral,Neutral,1,104049.82404344,0.0,-0.1751870197241177
2025-01-17 16:00:00,Neutral,Neutral,1,105037.64716623,0.0,-0.1751870197241177
2025-01-17 17:00:00,Neutral,Neutral,1,104167.9689071,-0.0,-0.1751870197241177
2025-01-17 18:00:00,Neutral,Neutral,1,104860.00744159,0.0,-0.1751870197241177
2025-01-17 19:00:00,Neutral,Neutral,1,105930.08964336,0.0,-0.1751870197241177
2025-01-17 20:00:00,Neutral,Neutral,1,104719.34606871,-0.0,-0.1751870197241177
2025-01-17 21:00:00,Neutral,Neutral,1,104653.7473471,-0.0,-0.1751870197241177
2025-01-17 22:00:00,Neutral,Neutral,1,104453.37184023,-0.0,-0.1751870197241177
2025-01-17 23:00:00,Neutral,Neutral,1,104094.65028438,-0.0,-0.1751870197241177
2025-01-18 00:00:00,Neutral,Neutral,1,104668.38158995,0.0,-0.1751870197241177
2025-01-18 01:00:00,Neutral,Neutral,1,104305.24146551,-0.0,-0.1751870197241177
2025-01-18 02:00:00,Neutral,Neutral,1,104323.82800149,0.0,-0.1751870197241177
2025-01-18 03:00:00,Neutral,Long,1,103570.21318025,-0.0006,-0.1757870197241177
2025-01-18 04:00:00,Neutral,Long,1,103543.1441473,-0.0002613592472082704,-0.17604837897132597
2025-01-18 05:00:00,Neutral,Long,1,102804.84803643,-0.00713032346998943,-0.1831787024413154
2025-01-18 06:00:00,Neutral,Long,1,103392.6898622,0.005718036036215901,-0.1774606664050995
2025-01-18 07:00:00,Neutral,Long,1,102773.79095144,-0.005985905885463105,-0.1834465722905626
2025-01-18 08:00:00,Neutral,Long,2,103232.99705299,0.0044681245801956315,-0.17897844771036697
2025-01-18 09:00:00,Neutral,Long,2,103113.76864744,-0.0011549447265277735,-0.18013339243689475
2025-01-18 10:00:00,Neutral,Long,2,103114.32111881,5.357881660783548e-06,-0.18012803455523396
2025-01-18 11:00:00,Neutral,Long,2,103536.62363101,0.004095478761998894,-0.17603255579323507
2025-01-18 12:00:00,Neutral,Long,2,103386.57540152,-0.0014492285360276913,-0.17748178432926276
2025-01-18 13:00:00,Neutral,Long,2,104314.05441708,0.008970981115855592,-0.16851080321340717
2025-01-18 14:00:00,Neutral,Long,2,103942.87745754,-0.0035582641439274587,-0.17206906735733463
2025-01-18 15:00:00,Neutral,Long,2,104502.8550926,0.005387359372351019,-0.1666817079849836
2025-01-18 16:00:00,Neutral,Long,2,103184.15672948,-0.012618778328606473,-0.17930048631359008
2025-01-18 17:00:00,Neutral,Long,2,103766.12148754,0.005640059254307328,-0.17366042705928275
2025-01-18 18:00:00,Neutral,Long,2,104033.63660248,0.0025780583402850166,-0.17108236871899773
2025-01-18 19:00:00,Neutral,Long,2,104283.328601,0.0024001083368265785,-0.16868226038217116
2025-01-18 20:00:00,Neutral,Long,2,103939.14315233,-0.003300483915189334,-0.1719827442973605
2025-01-18 21:00:00,Neutral,Long,2,103804.80629168,-0.0012924568798217129,-0.1732752011771822
2025-01-18 22:00:00,Neutral,Long,2,104219.40967509,0.0039940673098026735,-0.16928113386737953
2025-01-18 23:00:00,Neutral,Long,2,104431.18071522,0.002031973130439013,-0.16724916073694052
2025-01-19 00:00:00,Neutral,Long,2,104022.55727644,-0.003912848978451233,-0.17116200971539175
2025-01-19 01:00:00,Neutral,Long,2,104381.23313156,0.003448058426085643,-0.1677139512893061
2025-01-19 02:00:00,Neutral,Neutral,2,104765.56483367,0.0030820000164741186,-0.16463195127283198
2025-01-19 03:00:00,Neutral,Neutral,2,104856.18946293,0.0,-0.16463195127283198
2025-01-19 04:00:00,Neutral,Neutral,2,104908.86934638,0.0,-0.16463195127283198
2025-01-19 05:00:00,Neutral,Neutral,2,105009.36525488,0.0,-0.16463195127283198
2025-01-19 06:00:00,Neutral,Neutral,2,105441.00826502,0.0,-0.16463195127283198
2025-01-19 07:00:00,Neutral,Neutral,2,104990.94849276,-0.0,-0.16463195127283198
2025-01-19 08:00:00,Neutral,Neutral,2,104295.67485316,-0.0,-0.16463195127283198
2025-01-19 09:00:00,Neutral,Neutral,2,105136.95666442,0.0,-0.16463195127283198
2025-01-19 10:00:00,Neutral,Neutral,2,104653.78665527,-0.0,-0.16463195127283198
2025-01-19 11:00:00,Neutral,Neutral,2,104188.74364199,-0.0,-0.16463195127283198
2025-01-19 12:00:00,Neutral,Neutral,2,104796.26660153,0.0,-0.16463195127283198
2025-01-19 13:00:00,Neutral,Neutral,2,104796.39022071,0.0,-0.16463195127283198
2025-01-19 14:00:00,Neutral,Neutral,2,105008.33128653,0.0,-0.16463195127283198
2025-01-19 15:00:00,Neutral,Neutral,2,104790.54204286,-0.0,-0.16463195127283198
2025-01-19 16:00:00,Neutral,Neutral,2,104816.59771,0.0,-0.16463195127283198
2025-01-19 17:00:00,Neutral,Neutral,2,104992.90705654,0.0,-0.16463195127283198
2025-01-19 18:00:00,Neutral,Neutral,2,104930.60926954,-0.0,-0.16463195127283198
2025-01-19 19:00:00,Neutral,Neutral,2,106092.57541464,0.0,-0.16463195127283198
2025-01-19 20:00:00,Neutral,Neutral,1,106193.02850776,0.0,-0.16463195127283198
2025-01-19 21:00:00,Neutral,Neutral,1,103534.0728508,-0.0,-0.16463195127283198
2025-01-19 22:00:00,Neutral,Neutral,1,103304.95996209,-0.0,-0.16463195127283198
