datetime,prob_short,prob_neutral,prob_long
2024-04-01 13:00:00,4.2580265e-05,0.83713657,0.16282086
2024-04-01 14:00:00,5.6190333e-05,0.81795615,0.18198772
2024-04-01 15:00:00,5.139778e-05,0.7041108,0.29583782
2024-04-01 16:00:00,7.668189e-05,0.77666795,0.22325535
2024-04-01 17:00:00,0.00016621708,0.7438171,0.25601664
2024-04-01 18:00:00,0.00030573382,0.82297975,0.17671445
2024-04-01 19:00:00,0.00088983227,0.8258895,0.17322062
2024-04-01 20:00:00,0.001607043,0.8885852,0.109807745
2024-04-01 21:00:00,0.005451803,0.8753206,0.11922759
2024-04-01 22:00:00,0.012355328,0.9064006,0.081244014
2024-04-01 23:00:00,0.043119933,0.8513275,0.105552636
2024-04-02 00:00:00,0.08360609,0.864291,0.052102916
2024-04-02 01:00:00,0.16608924,0.766121,0.06778974
2024-04-02 02:00:00,0.05443476,0.91399336,0.031571854
2024-04-02 03:00:00,0.07781025,0.9129117,0.009278064
2024-04-02 04:00:00,0.02165738,0.97556293,0.002779694
2024-04-02 05:00:00,0.030616371,0.9679471,0.0014365821
2024-04-02 06:00:00,0.009709127,0.98969984,0.0005909657
2024-04-02 07:00:00,0.07006689,0.9292121,0.00072099274
2024-04-02 08:00:00,0.17710909,0.8185599,0.004331034
2024-04-02 09:00:00,0.6176384,0.37519467,0.007166898
2024-04-02 10:00:00,0.6821717,0.30154768,0.016280662
2024-04-02 11:00:00,0.8208753,0.16727187,0.011852865
2024-04-02 12:00:00,0.6995784,0.2791422,0.021279383
2024-04-02 13:00:00,0.6448229,0.33511853,0.020058608
2024-04-02 14:00:00,0.405427,0.54366636,0.050906572
2024-04-02 15:00:00,0.31598407,0.6282308,0.05578514
2024-04-02 16:00:00,0.22037286,0.6590649,0.120562285
2024-04-02 17:00:00,0.25878963,0.6745896,0.066620775
2024-04-02 18:00:00,0.2760898,0.55126363,0.17264658
2024-04-02 19:00:00,0.2950042,0.5872378,0.117757976
2024-04-02 20:00:00,0.3334921,0.48670027,0.17980772
2024-04-02 21:00:00,0.2735433,0.6152717,0.111185044
2024-04-02 22:00:00,0.24550967,0.62958497,0.12490539
2024-04-02 23:00:00,0.15069532,0.8077979,0.04150673
2024-04-03 00:00:00,0.09990937,0.8444108,0.055679817
2024-04-03 01:00:00,0.041702922,0.9456675,0.012629543
2024-04-03 02:00:00,0.028817095,0.9407236,0.030459372
2024-04-03 03:00:00,0.0138265565,0.9760296,0.010143915
2024-04-03 04:00:00,0.031033982,0.9065395,0.062426534
2024-04-03 05:00:00,0.020348337,0.87332135,0.10633034
2024-04-03 06:00:00,0.033626024,0.4547268,0.5116471
