start_time,close,datetime,high,low,open,volume
1641556800000,42394.62310566,2022-01-07 12:00:00,42485.03699177,42244.16989176,42245.94011056,2418.394949489708
1641560400000,41479.12581716,2022-01-07 13:00:00,42749.93052792,41161.11677441,42392.36946806,14632.504586255243
1641564000000,41889.84046645,2022-01-07 14:00:00,42117.37389528,41385.99990184,41482.15322667,7186.849826516027
1641567600000,41318.37152334,2022-01-07 15:00:00,41909.45679947,40588.02543846,41890.93642831,15666.947515192354
1641571200000,42139.25377641,2022-01-07 16:00:00,42342.35698947,40919.8463182,41309.72460065,14359.068485911648
1641574800000,41991.86811804,2022-01-07 17:00:00,42163.23485196,41741.54982172,42138.73340954,4688.604419299277
1641578400000,41692.73570282,2022-01-07 18:00:00,41997.97402454,41513.37165442,41988.2202926,3503.5836030403107
1641582000000,41769.25115588,2022-01-07 19:00:00,41887.52856261,41504.40938266,41698.00784153,3383.0245026231623
1641585600000,41915.94912959,2022-01-07 20:00:00,42051.077597,41591.48797193,41769.51051139,3885.9951772073514
1641589200000,41874.94632433,2022-01-07 21:00:00,42025.94615393,41847.91965809,41916.33713628,2686.013817817724
1641592800000,41537.75273564,2022-01-07 22:00:00,41879.45759368,41356.64723443,41877.78926176,3246.2216025399284
1641596400000,41561.08581982,2022-01-07 23:00:00,41591.1102545,41331.500277,41537.02136279,2849.9906053297823
1641600000000,41992.17250024,2022-01-08 00:00:00,42109.32274002,41557.20716011,41561.0330295,4449.862643754782
1641603600000,41886.07915663,2022-01-08 01:00:00,42240.44576762,41843.47923672,41992.65854269,3887.794914333026
1641607200000,41885.02368573,2022-01-08 02:00:00,41938.06703001,41691.76910487,41882.73197054,2437.280774043101
1641610800000,41807.43347962,2022-01-08 03:00:00,41904.51862978,41644.80439105,41881.02102616,2365.07842373523
1641614400000,41900.6635175,2022-01-08 04:00:00,41990.63003281,41759.65700466,41808.7796011,2269.4453275097626
1641618000000,41969.1622508,2022-01-08 05:00:00,42000.13672781,41832.64860591,41901.54700628,2092.27250420399
1641621600000,41915.65512441,2022-01-08 06:00:00,41992.94464434,41735.50660439,41966.9672898,2160.605160055665
1641625200000,41910.7290568,2022-01-08 07:00:00,41972.4419919,41841.47049181,41917.51481388,1980.620573836904
1641628800000,41959.06633204,2022-01-08 08:00:00,42177.34905034,41885.18317999,41911.37346,3369.54036716628
1641632400000,42159.80499777,2022-01-08 09:00:00,42176.22944804,41951.79348028,41961.40522381,2627.544812954543
1641636000000,41917.01536991,2022-01-08 10:00:00,42197.82836308,41802.99949258,42156.51797414,2821.2964133422797
1641639600000,41940.35026474,2022-01-08 11:00:00,41971.85375044,41761.79483003,41916.85274472,2475.691533411093
1641643200000,41878.74382399,2022-01-08 12:00:00,42030.97606776,41772.24689737,41943.03005542,2296.8441225530155
1641646800000,41904.5564038,2022-01-08 13:00:00,42031.71000007,41622.71134549,41879.07344013,3243.450126594852
1641650400000,41740.5662202,2022-01-08 14:00:00,41998.58857534,41711.91407341,41906.18713617,2399.851667256082
1641654000000,41610.7408339,2022-01-08 15:00:00,41798.45966895,41411.20188425,41746.1167807,5399.283923401186
1641657600000,41339.20942624,2022-01-08 16:00:00,41734.13694819,41240.32357065,41611.48885896,5537.653786287213
1641661200000,40838.23404864,2022-01-08 17:00:00,41397.97211946,40799.24892996,41340.70230266,8539.458933583302
1641664800000,40675.7683533,2022-01-08 18:00:00,41307.93062558,40534.146544,40841.68103921,11068.149823758926
1641668400000,40822.77604095,2022-01-08 19:00:00,41091.77596402,40520.50123222,40679.04477575,8086.557314733901
1641672000000,40970.86955119,2022-01-08 20:00:00,41172.84051056,40715.92628184,40820.73898352,3802.327396441938
