start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1641398400000,2022-01-05 16:00:00,0.47199503,0.89392158,264799127.00884,0.52800497,296221875.37252
1641402000000,2022-01-05 17:00:00,0.46108001,0.85556302,265030792.86762,0.53891999,309773550.5384
1641405600000,2022-01-05 18:00:00,0.49921311,0.99685739,918594390.0697,0.50078689,921490272.36473
1641409200000,2022-01-05 19:00:00,0.43090159,0.75716534,1209791286.44432,0.56909841,1597790097.8046
1641412800000,2022-01-05 20:00:00,0.47121678,0.89113412,1337272040.47246,0.52878322,1500640593.21769
1641416400000,2022-01-05 21:00:00,0.49445599,0.97806716,645367954.20378,0.50554401,659840122.75046
1641420000000,2022-01-05 22:00:00,0.45645219,0.83976457,1132580000.24671,0.54354781,1348687526.9065
1641423600000,2022-01-05 23:00:00,0.50391919,1.01580062,448266901.97271,0.49608081,441294178.90271
1641427200000,2022-01-06 00:00:00,0.4810496,0.92696643,342583122.05019,0.5189504,369574462.99237
1641430800000,2022-01-06 01:00:00,0.49512548,0.98069016,230440132.16158,0.50487452,234977511.24715
1641434400000,2022-01-06 02:00:00,0.48465662,0.94045378,261219815.5787,0.51534338,277759334.5054
1641438000000,2022-01-06 03:00:00,0.46716437,0.87675136,317862816.15175,0.53283563,362546135.07979
1641441600000,2022-01-06 04:00:00,0.52044259,1.08525609,506897985.7018,0.47955741,467076840.67785
1641445200000,2022-01-06 05:00:00,0.48863796,0.95556165,268368523.57635,0.51136204,280848988.44216
1641448800000,2022-01-06 06:00:00,0.51132281,1.04634064,207175469.42833,0.48867719,198000021.26945
1641452400000,2022-01-06 07:00:00,0.52412469,1.10139079,183721576.65072,0.47587531,166808710.02003
1641456000000,2022-01-06 08:00:00,0.49285228,0.97181206,218551054.84666,0.50714772,224890247.19082
1641459600000,2022-01-06 09:00:00,0.46577849,0.87188269,467391936.0454,0.53422151,536072043.21074
1641463200000,2022-01-06 10:00:00,0.51930221,1.08030914,330075049.98803,0.48069779,305537589.3774
1641466800000,2022-01-06 11:00:00,0.50617823,1.02502209,217722253.33519,0.49382177,212407376.7306
1641470400000,2022-01-06 12:00:00,0.51050127,1.04290621,304411965.3051,0.48949873,291888151.89311
1641474000000,2022-01-06 13:00:00,0.48464313,0.94040298,276761431.57476,0.51535687,294300888.98137
1641477600000,2022-01-06 14:00:00,0.48311377,0.9346617,367909133.70088,0.51688623,393628125.53427
1641481200000,2022-01-06 15:00:00,0.53005208,1.12789537,370942923.7674,0.46994792,328880616.10968
1641484800000,2022-01-06 16:00:00,0.47280071,0.89681592,255136200.30586,0.52719929,284491160.17721
1641488400000,2022-01-06 17:00:00,0.52451919,1.10313431,225953532.21205,0.47548081,204828668.05795
1641492000000,2022-01-06 18:00:00,0.56447513,1.29608014,236646467.147,0.43552487,182586292.25566
1641495600000,2022-01-06 19:00:00,0.48129266,0.92786937,200179509.15116,0.51870734,215741046.99965
1641499200000,2022-01-06 20:00:00,0.46910432,0.88360922,217049404.30808,0.53089568,245639586.81071
